entity_id,entity_name,ticker,aliases,isin,cusip,sedol,exchange,country,sector,industry,fiscal_year_end_month
SAP-DE,SAP SE,SAP,SAP,DE0007164600,,,XETRA,DE,Technology,Software,12
HSBA-GB,HSBC Holdings plc,HSBA,HSBC|HSBA,GB0005405286,,,LSE,GB,Financials,Banks,12
NESN-CH,Nestle S.A.,NESN,Nestle|NESN,CH0038863350,,,SIX,CH,Consumer Staples,Food,12
005930-KR,Samsung Electronics Co.,005930,Samsung|Samsung Electronics,KR7005930003,,,KRX,KR,Technology,Electronics,12
AZN-GB,AstraZeneca plc,AZN,AstraZeneca|AZN,GB0009895292,,,LSE,GB,Healthcare,Pharmaceuticals,12
SHEL-GB,Shell plc,SHEL,Shell|SHEL,GB00BP6MXD84,,,LSE,GB,Energy,Oil & Gas,12
TTE-FR,TotalEnergies SE,TTE,Total|TotalEnergies|TTE,FR0000120271,,,EPA,FR,Energy,Oil & Gas,12
NOVO-DK,Novo Nordisk A/S,NOVO,Novo Nordisk|NOVO,DK0062498333,,,CPH,DK,Healthcare,Pharmaceuticals,12
RY-CA,Royal Bank of Canada,RY,RBC|Royal Bank|RY,CA7800871021,,,TSX,CA,Financials,Banks,10
SNPS-US,Synopsys Inc.,SNPS,Synopsys|SNPS,US8716071076,871607107,,NASDAQ,US,Technology,EDA Software,10
CDNS-US,Cadence Design Systems,CDNS,Cadence|CDNS,US1273871087,127387108,,NASDAQ,US,Technology,EDA Software,12
MCHP-US,Microchip Technology Inc.,MCHP,Microchip|MCHP,US5950171042,595017104,,NASDAQ,US,Technology,Semiconductors,3
KEYS-US,Keysight Technologies,KEYS,Keysight|KEYS,US49338L1035,49338L103,,NYSE,US,Technology,Test & Measurement,10
IT-US,Gartner Inc.,IT,Gartner|IT,US3666511072,366651107,,NYSE,US,Technology,Research & Advisory,12
PAYC-US,Paycom Software Inc.,PAYC,Paycom|PAYC,US70432V1026,70432V102,,NYSE,US,Technology,HCM Software,12
DDOG-US,Datadog Inc.,DDOG,Datadog|DDOG,US23804L1035,23804L103,,NASDAQ,US,Technology,Observability,12
SNOW-US,Snowflake Inc.,SNOW,Snowflake|SNOW,US8334451098,833445109,,NYSE,US,Technology,Data Cloud,1
PLTR-US,Palantir Technologies Inc.,PLTR,Palantir|PLTR,US69608A1088,69608A108,,NYSE,US,Technology,Data Analytics,12
COIN-US,Coinbase Global Inc.,COIN,Coinbase|COIN,US19260Q1076,19260Q107,,NASDAQ,US,Financials,Crypto Exchange,12
TGT-US,Target Corporation,TGT,Target|TGT,US87612E1064,87612E106,,NYSE,US,Consumer Disc.,Retail,1
INTU-US,Intuit Inc.,INTU,Intuit|INTU,US4612021034,461202103,,NASDAQ,US,Technology,Financial Software,7
SYK-US,Stryker Corporation,SYK,Stryker|SYK,US8636671013,863667101,,NYSE,US,Healthcare,Medical Devices,12
PANW-US,Palo Alto Networks Inc.,PANW,Palo Alto|PANW,US6974351057,697435105,,NASDAQ,US,Technology,Cybersecurity,7
FDS-US,FactSet Research Systems Inc.,FDS,FactSet|FDS,US3030751057,303075105,,NYSE,US,Financials,Financial Data,8
