entity_id,entity_name,ticker,aliases,isin,cusip,sedol,exchange,country,sector,industry,fiscal_year_end_month
AAPL-US,Apple Inc.,AAPL,Apple|AAPL,US0378331005,037833100,,NASDAQ,US,Technology,Consumer Electronics,9
MSFT-US,Microsoft Corporation,MSFT,Microsoft|MSFT,US5949181045,594918104,,NASDAQ,US,Technology,Software,6
GOOGL-US,Alphabet Inc.,GOOGL,Google|Alphabet|GOOGL,US02079K3059,02079K305,,NASDAQ,US,Technology,Internet Services,12
AMZN-US,Amazon.com Inc.,AMZN,Amazon|AMZN,US0231351067,023135106,,NASDAQ,US,Technology,E-Commerce,12
META-US,Meta Platforms Inc.,META,Meta|Facebook|META,US30303M1027,30303M102,,NASDAQ,US,Technology,Social Media,12
NVDA-US,NVIDIA Corporation,NVDA,NVIDIA|NVDA,US67066G1040,67066G104,,NASDAQ,US,Technology,Semiconductors,1
TSM-US,Taiwan Semiconductor (ADR),TSM,TSMC|Taiwan Semi|TSM,US8740391003,874039100,,NYSE,TW,Technology,Semiconductors,12
ORCL-US,Oracle Corporation,ORCL,Oracle|ORCL,US68389X1054,68389X105,,NYSE,US,Technology,Software,5
CRM-US,Salesforce Inc.,CRM,Salesforce|CRM,US79466L3024,79466L302,,NYSE,US,Technology,Software,1
ADBE-US,Adobe Inc.,ADBE,Adobe|ADBE,US00724F1012,00724F101,,NASDAQ,US,Technology,Software,11
JPM-US,JPMorgan Chase & Co.,JPM,JPMorgan|JP Morgan|Chase|JPM,US46625H1005,46625H100,,NYSE,US,Financials,Banks,12
UNH-US,UnitedHealth Group Inc.,UNH,UnitedHealth|UNH,US91324P1021,91324P102,,NYSE,US,Healthcare,Managed Care,12
WMT-US,Walmart Inc.,WMT,Walmart|WMT,US9311421039,931142103,,NYSE,US,Consumer Staples,Retail,1
XOM-US,Exxon Mobil Corporation,XOM,ExxonMobil|Exxon|XOM,US30231G1022,30231G102,,NYSE,US,Energy,Oil & Gas,12
JNJ-US,Johnson & Johnson,JNJ,J&J|Johnson Johnson|JNJ,US4781601046,478160104,,NYSE,US,Healthcare,Pharmaceuticals,12
V-US,Visa Inc.,V,Visa|V,US92826C8394,92826C839,,NYSE,US,Financials,Payments,9
PG-US,Procter & Gamble Co.,PG,P&G|Procter Gamble|PG,US7427181091,742718109,,NYSE,US,Consumer Staples,Household Products,6
HD-US,The Home Depot Inc.,HD,Home Depot|HD,US4370761029,437076102,,NYSE,US,Consumer Disc.,Home Improvement,1
BAC-US,Bank of America Corporation,BAC,Bank of America|BofA|BAC,US0605051046,060505104,,NYSE,US,Financials,Banks,12
KO-US,The Coca-Cola Company,KO,Coca-Cola|Coke|KO,US1912161007,191216100,,NYSE,US,Consumer Staples,Beverages,12
APLE-US,Apple Hospitality REIT Inc.,APLE,Apple Hospitality|APLE,US03784Y2000,03784Y200,,NYSE,US,Real Estate,REITs,12
DAL-US,Delta Air Lines Inc.,DAL,Delta|Delta Air Lines|DAL,US2473617023,247361702,,NYSE,US,Industrials,Airlines,12
DELT-TW,Delta Electronics Inc.,DELT,Delta Electronics|DELT,TW0002308004,,,TWSE,TW,Technology,Electronics,12
GS-US,The Goldman Sachs Group Inc.,GS,Goldman Sachs|Goldman|GS,US38141G1040,38141G104,,NYSE,US,Financials,Investment Banking,12
BRK.A-US,Berkshire Hathaway Inc.,BRK.A,Berkshire|Berkshire Hathaway,US0846701086,084670108,,NYSE,US,Financials,Conglomerate,12
NKE-US,NIKE Inc.,NKE,Nike|NKE,US6541061031,654106103,,NYSE,US,Consumer Disc.,Footwear,5
FDX-US,FedEx Corporation,FDX,FedEx|FDX,US31428X1063,31428X106,,NYSE,US,Industrials,Logistics,5
COST-US,Costco Wholesale Corporation,COST,Costco|COST,US22160K1051,22160K105,,NASDAQ,US,Consumer Staples,Retail,8
ACN-US,Accenture plc,ACN,Accenture|ACN,IE00B4BNMY34,,,NYSE,IE,Technology,IT Services,8
FIS-US,Fidelity National Information,FIS,FIS|Fidelity National,US31620M1062,31620M106,,NYSE,US,Technology,Fintech,12
7203-JP,Toyota Motor Corporation,7203,Toyota|TM,JP3633400001,,,TSE,JP,Consumer Disc.,Automobiles,3
